group,method,task,model,loss,window_len,window_overlap,n_runs,n_folds,within_rmse_deg,within_pcc,cross_rmse_deg,cross_pcc
TeacherModel_RMSELoss_wl100_ol75_l1_0.0001,L1 weight reg (λ=0.0001),joint-angle LOSO,TeacherModelBase,RMSELoss,100,75,13,13,15.364,0.857,17.685,0.617
TeacherModel_RMSELoss_wl200_ol75,"Baseline, longer window (wl200)",joint-angle LOSO,TeacherModelBase,RMSELoss,200,75,10,7,5.625,0.99,18.735,0.841
TeacherModel_RMSELoss_wl100_ol75_l1_0.0005,L1 weight reg (λ=0.0005),joint-angle LOSO,TeacherModelBase,RMSELoss,100,75,13,13,20.432,0.687,20.732,0.51
TeacherModel_RMSELoss_wl100_ol75_l1_0.001,L1 weight reg (λ=0.001),joint-angle LOSO,TeacherModelBase,RMSELoss,100,75,13,13,23.754,0.579,23.549,0.398
itransformer_RMSELoss_wl100_ol75_singletimestep,"iTransformer, single-timestep",joint-angle LOSO,itransformer,RMSELoss,100,75,3,2,37.55,0.338,31.445,0.045
itransformer_RMSELoss_wl100_ol75_singletimestep_optimizepcc,"iTransformer, single-timestep, PCC-opt (diverged)",joint-angle LOSO,itransformer,RMSELoss,100,75,7,3,2025.315,0.406,1620.221,0.109
TeacherModel_RMSELoss_wl100_ol75_inpainting,Inpainting (full),sensor inpainting / gap-fill (separate task),TeacherModelBase,RMSELoss,100,75,15,13,,,,
TeacherModel_RMSELoss_wl200_ol75_inpainting,Inpainting (full),sensor inpainting / gap-fill (separate task),TeacherModelBase,RMSELoss,200,75,30,13,,,,
TeacherModel_RMSELoss_wl200_ol75_inpainting_emg,"Inpainting, EMG-only",sensor inpainting / gap-fill (separate task),TeacherModelBase,RMSELoss,200,75,31,13,,,,
TeacherModel_RMSELoss_wl200_ol75_inpainting_imu,"Inpainting, IMU-only",sensor inpainting / gap-fill (separate task),TeacherModelBase,RMSELoss,200,75,19,13,,,,
TeacherModel_RMSELoss_wl200_ol75_inpainting_imu_transformer,"Inpainting, IMU, transformer",sensor inpainting / gap-fill (separate task),TeacherModelBase,RMSELoss,200,75,15,13,,,,
DiffusionGapFill_wl200_ol75,Diffusion gap-fill (UNet),sensor inpainting / gap-fill (separate task),DiffusionUNet,MSE_ε,200,75,18,13,,,,
